"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UPPER","2021-01-12","443","478","435","478","0.10","337243"
"UPPER","2021-01-11","457","457","432","435","-0.00","71034"
"UPPER","2021-01-10","431","456","431","436","0.00","57338"
"UPPER","2021-01-07","432","440","432","434","0.00","74208"
"UPPER","2021-01-06","440","447","430","432","-0.00","69409"
"UPPER","2021-01-05","415","455","410","434","0.04","131972"
"UPPER","2021-01-04","430","430","416","417","-0.01","38104"
"UPPER","2021-01-03","411","424","410","422","0.03","89186"
"UPPER","2020-12-31","411","423","407","411","0.00","58066"
"UPPER","2020-12-30","405","412","399","410","0.01","52507"
"UPPER","2020-12-29","416","416","405","405","-0.02","61313"
"UPPER","2020-12-28","412","422","406","414","0.00","68528"
"UPPER","2020-12-27","420","427","410","412","-0.03","104013"
"UPPER","2020-12-24","445","445","421","425","-0.02","91833"
"UPPER","2020-12-23","457","469","420","434","-0.00","115519"
"UPPER","2020-12-22","401","436","401","436","0.10","158910"
"UPPER","2020-12-21","375","410","350","397","0.04","239971"
"UPPER","2020-12-20","420","420","378","379","-0.10","262793"
"UPPER","2020-12-17","438","438","417","420","-0.05","258361"
"UPPER","2020-12-16","470","470","440","442","-0.01","127539"
"UPPER","2020-12-15","447","469","447","448","-0.00","138244"
"UPPER","2020-12-14","452","479","448","450","-0.00","161138"
"UPPER","2020-12-13","452","490","428","452","-0.05","406954"
"UPPER","2020-12-10","527","527","475","475","-0.10","250250"
"UPPER","2020-12-09","529","554","512","527","0.05","486805"
"UPPER","2020-12-08","481","504","478","504","0.10","318212"
"UPPER","2020-12-07","418","459","410","459","0.10","439134"
"UPPER","2020-12-06","452","474","417","418","-0.03","650300"
"UPPER","2020-12-03","411","431","411","431","0.10","261776"
"UPPER","2020-12-02","374","392","374","392","0.10","94182"
"UPPER","2020-12-01","340","357","326","357","0.10","346495"
"UPPER","2020-11-30","297","325","295","325","0.10","243738"
"UPPER","2020-11-29","294","299","294","296","0.01","111980"
"UPPER","2020-11-26","301","301","293","294","-0.01","73971"
"UPPER","2020-11-25","293","299","293","294","0.00","48808"
"UPPER","2020-11-24","290","298","290","293","0.00","101585"
"UPPER","2020-11-23","290","295","290","292","0.01","68644"
"UPPER","2020-11-22","295","300","290","290","-0.02","117887"
"UPPER","2020-11-19","292","299","292","295","0.00","80663"
"UPPER","2020-11-18","297","297","292","293","0.00","74377"
